departement,avg_prix
38,2064.5418788852253
18,2129.5774647887324
73,4496.47342995169
14,5000.0
30,2163.4615384615386
29,3560.9756097560976
42,1119.3181818181818
54,88.23529411764706
31,2376.1660729846285
76,2562.7594627594626
79,2547.3684210526317
77,1899.1223908918407
32,1930.6524064171124
28,981.4814814814815
35,1660.2723311546843
47,750.0
69,4918.683513603144
972,2300.0
80,1179.245283018868
26,2298.1481481481483
85,1147.8866865779707
63,1124.9193692486376
21,2228.2590826894625
87,991.4728682170543
89,1720.5882352941176
83,3936.78246441829
973,1551.7241379310344
13,2022.4596391263058
37,1844.4444444444443
84,1750.0
62,2061.1650485436894
81,145.83333333333334
48,1785.7142857142858
71,1206.896551724138
10,2531.5789473684213
59,3379.4329896907216
22,1708.4305317324186
45,1868.5125714285714
,
33,3148.2084555229717
34,3857.1428571428573
75,9867.567567567568
56,2769.230769230769
95,3955.94653573377
44,3212.128924996572
74,5675.516795865633
94,5869.356906534325
86,1378.5714285714287
92,6145.588595739776
91,3465.7258064516127
78,4199.299450549451
72,1199.9031290926605
11,3156.25
